congress,chamber,rollnumber,icpsr,cast_code,prob
71,Senate,2,8254,6,85.3
71,Senate,2,8446,1,73.6
71,Senate,2,8476,9,45.9
71,Senate,2,8487,6,99.1
71,Senate,2,8514,1,51.8
71,Senate,2,8613,6,46.0
71,Senate,2,8713,6,99.4
71,Senate,2,8863,6,55.8
71,Senate,2,8880,6,97.5
71,Senate,2,8888,9,74.3
71,Senate,2,9106,9,51.9
71,Senate,2,9298,6,95.8
71,Senate,2,9303,1,79.8
71,Senate,2,9439,6,99.4
71,Senate,2,9456,1,64.6
71,Senate,2,9538,6,68.1
71,Senate,2,9548,1,56.8
71,Senate,2,9604,6,94.8
71,Senate,2,9713,9,53.4
71,Senate,2,9724,6,99.0
71,Senate,2,9782,6,55.3
71,Senate,2,9788,1,64.4
71,Senate,2,9842,6,99.3
71,Senate,2,9862,6,99.2
71,Senate,2,9875,6,99.3
71,Senate,2,9984,9,76.8
71,Senate,3,110,1,91.3
71,Senate,3,273,6,98.1
71,Senate,3,437,6,99.0
71,Senate,3,716,1,100.0
71,Senate,3,743,6,100.0
71,Senate,3,761,6,99.7
71,Senate,3,791,6,96.6
71,Senate,3,858,6,83.3
71,Senate,3,982,6,97.1
71,Senate,3,1070,6,98.1
71,Senate,3,1091,6,16.6
71,Senate,3,1322,1,98.8
71,Senate,3,1494,1,47.3
71,Senate,3,1498,6,99.2
71,Senate,3,1986,6,99.8
71,Senate,3,2062,6,63.0
71,Senate,3,2095,1,44.4
71,Senate,3,2289,1,13.9
71,Senate,3,2302,1,99.0
71,Senate,3,2494,1,99.2
71,Senate,3,2595,6,98.3
71,Senate,3,2844,1,100.0
71,Senate,3,3124,1,99.7
71,Senate,3,3216,6,84.8
71,Senate,3,3347,6,93.0
71,Senate,3,3536,6,94.5
71,Senate,3,3599,1,100.0
71,Senate,3,3625,6,78.8
71,Senate,3,3630,1,97.9
71,Senate,3,3645,1,100.0
71,Senate,3,3653,1,100.0
71,Senate,3,3721,1,100.0
71,Senate,3,3789,1,100.0
71,Senate,3,3919,1,100.0
71,Senate,3,4120,6,99.2
71,Senate,3,4126,6,97.3
71,Senate,3,4177,1,100.0
71,Senate,3,4190,1,97.9
71,Senate,3,4207,6,69.4
71,Senate,3,4227,6,99.1
71,Senate,3,4274,1,100.0
71,Senate,3,4280,6,99.2
71,Senate,3,4654,6,91.7
71,Senate,3,4962,6,63.5
71,Senate,3,5065,1,77.5
71,Senate,3,5106,1,100.0
71,Senate,3,5172,9,54.2
71,Senate,3,5227,1,100.0
71,Senate,3,5274,2,18.0
71,Senate,3,5402,6,99.3
71,Senate,3,6293,6,98.8
71,Senate,3,6349,6,95.3
71,Senate,3,6367,1,80.3
71,Senate,3,6441,1,100.0
71,Senate,3,6750,1,100.0
71,Senate,3,6954,6,78.7
71,Senate,3,6960,6,98.0
71,Senate,3,6991,6,90.4
71,Senate,3,7023,1,98.7
71,Senate,3,7120,6,88.3
71,Senate,3,7252,1,99.6
71,Senate,3,7422,1,100.0
71,Senate,3,7461,6,15.7
71,Senate,3,7473,6,94.0
71,Senate,3,7734,1,59.2
71,Senate,3,7782,1,100.0
71,Senate,3,7972,1,85.5
71,Senate,3,7986,6,93.6
71,Senate,3,8167,1,99.3
71,Senate,3,8254,6,43.7
71,Senate,3,8446,6,99.4
71,Senate,3,8476,5,93.9
71,Senate,3,8487,1,99.5
71,Senate,3,8514,6,86.4
71,Senate,3,8613,6,91.6
71,Senate,3,8713,1,100.0
71,Senate,3,8863,6,81.1
71,Senate,3,8880,1,96.6
71,Senate,3,8888,6,99.3
71,Senate,3,9106,6,86.8
71,Senate,3,9298,1,90.1
71,Senate,3,9303,6,99.8
71,Senate,3,9439,1,100.0
71,Senate,3,9456,6,97.8
71,Senate,3,9538,6,61.3
71,Senate,3,9548,6,92.7
71,Senate,3,9604,1,96.5
71,Senate,3,9713,1,13.5
71,Senate,3,9724,1,100.0
71,Senate,3,9782,2,13.7
71,Senate,3,9788,6,97.8
71,Senate,3,9842,1,100.0
71,Senate,3,9862,1,99.8
71,Senate,3,9875,1,99.9
71,Senate,3,9984,6,99.3
71,Senate,4,110,6,98.4
71,Senate,4,273,6,84.1
71,Senate,4,437,6,76.5
71,Senate,4,716,5,46.1
71,Senate,4,743,6,75.4
71,Senate,4,761,6,95.6
71,Senate,4,791,6,55.4
71,Senate,4,858,6,97.8
71,Senate,4,982,9,87.0
71,Senate,4,1070,6,97.4
71,Senate,4,1091,6,78.1
71,Senate,4,1322,6,94.8
71,Senate,4,1494,6,98.0
71,Senate,4,1498,1,26.0
71,Senate,4,1986,6,88.2
71,Senate,4,2062,1,11.4
71,Senate,4,2095,6,96.0
71,Senate,4,2289,6,98.3
71,Senate,4,2302,6,94.7
71,Senate,4,2494,6,96.1
71,Senate,4,2595,1,5.9
71,Senate,4,2844,1,41.3
71,Senate,4,3124,6,93.2
71,Senate,4,3216,6,70.3
71,Senate,4,3347,6,98.3
71,Senate,4,3536,1,8.6
71,Senate,4,3599,1,26.7
71,Senate,4,3625,9,72.6
71,Senate,4,3630,6,91.0
71,Senate,4,3645,6,83.2
71,Senate,4,3653,9,72.6
71,Senate,4,3721,6,77.7
71,Senate,4,3789,6,80.5
71,Senate,4,3919,6,79.2
71,Senate,4,4120,6,73.5
71,Senate,4,4126,6,68.9
71,Senate,4,4177,5,67.5
71,Senate,4,4190,6,97.5
71,Senate,4,4207,9,72.2
71,Senate,4,4227,6,85.6
71,Senate,4,4274,9,42.2
71,Senate,4,4280,6,72.7
71,Senate,4,4654,6,98.4
71,Senate,4,4962,6,98.6
71,Senate,4,5065,9,97.7
71,Senate,4,5106,1,26.8
71,Senate,4,5172,9,87.0
71,Senate,4,5227,6,78.1
71,Senate,4,5274,6,78.9
71,Senate,4,5402,6,96.1
71,Senate,4,6293,9,85.9
71,Senate,4,6349,6,97.8
71,Senate,4,6367,6,96.7
71,Senate,4,6441,6,45.3
71,Senate,4,6750,6,64.4
71,Senate,4,6954,6,98.7
71,Senate,4,6960,6,97.4
71,Senate,4,6991,6,98.5
71,Senate,4,7023,6,97.0
71,Senate,4,7120,6,68.6
71,Senate,4,7252,6,94.6
71,Senate,4,7422,6,80.3
71,Senate,4,7461,6,98.9
71,Senate,4,7473,6,79.5
71,Senate,4,7734,1,29.3
71,Senate,4,7782,2,52.5
71,Senate,4,7972,6,98.5
71,Senate,4,7986,1,30.2
71,Senate,4,8167,6,92.6
71,Senate,4,8254,6,98.5
71,Senate,4,8446,6,78.3
71,Senate,4,8476,9,98.2
71,Senate,4,8487,6,96.0
71,Senate,4,8514,6,69.4
71,Senate,4,8613,9,76.7
71,Senate,4,8713,6,87.1
71,Senate,4,8863,6,79.0
71,Senate,4,8880,6,96.9
71,Senate,4,8888,6,67.6
71,Senate,4,9106,5,70.0
71,Senate,4,9298,6,98.2
71,Senate,4,9303,6,89.7
71,Senate,4,9439,9,82.9
71,Senate,4,9456,6,81.0
71,Senate,4,9538,1,17.2
71,Senate,4,9548,6,72.4
71,Senate,4,9604,6,88.9
71,Senate,4,9713,2,34.4
71,Senate,4,9724,6,54.1
71,Senate,4,9782,9,87.3
71,Senate,4,9788,6,81.7
71,Senate,4,9842,1,15.9
71,Senate,4,9862,6,83.2
71,Senate,4,9875,9,92.4
71,Senate,4,9984,6,96.4
71,Senate,5,110,6,94.3
71,Senate,5,273,6,70.0
71,Senate,5,437,6,62.8
71,Senate,5,716,1,69.0
71,Senate,5,743,1,35.2
71,Senate,5,761,6,87.7
71,Senate,5,791,6,50.3
71,Senate,5,858,6,91.7
71,Senate,5,982,9,73.4
71,Senate,5,1070,6,91.1
71,Senate,5,1091,1,42.7
71,Senate,5,1322,6,87.4
71,Senate,5,1494,6,92.3
71,Senate,5,1498,1,39.2
71,Senate,5,1986,1,23.3
71,Senate,5,2062,1,26.6
71,Senate,5,2095,6,87.2
71,Senate,5,2289,6,93.1
71,Senate,5,2302,6,87.5
71,Senate,5,2494,6,90.9
71,Senate,5,2595,1,15.6
71,Senate,5,2844,1,51.4
71,Senate,5,3124,6,86.2
71,Senate,5,3216,6,53.5
71,Senate,5,3347,6,93.2
71,Senate,5,3536,6,79.4
71,Senate,5,3599,1,26.7
71,Senate,5,3625,2,45.1
71,Senate,5,3630,6,78.7
71,Senate,5,3645,6,73.1
71,Senate,5,3653,6,63.1
71,Senate,5,3721,6,69.1
71,Senate,5,3789,6,74.1
71,Senate,5,3919,6,66.8
71,Senate,5,4120,6,60.4
71,Senate,5,4126,6,55.5
71,Senate,5,4177,6,65.0
71,Senate,5,4190,6,93.2
71,Senate,5,4207,9,53.6
71,Senate,5,4227,6,72.5
71,Senate,5,4274,6,35.3
71,Senate,5,4280,6,59.9
71,Senate,5,4654,6,93.4
71,Senate,5,4962,6,93.9
71,Senate,5,5065,2,8.2
71,Senate,5,5106,1,39.9
71,Senate,5,5172,9,70.7
71,Senate,5,5227,6,65.0
71,Senate,5,5274,6,61.5
71,Senate,5,5402,6,88.6
71,Senate,5,6293,9,72.6
71,Senate,5,6349,6,91.8
71,Senate,5,6367,1,10.8
71,Senate,5,6441,6,31.5
71,Senate,5,6750,6,68.9
71,Senate,5,6954,6,94.2
71,Senate,5,6960,6,91.2
71,Senate,5,6991,6,93.7
71,Senate,5,7023,6,92.4
71,Senate,5,7120,6,52.8
71,Senate,5,7252,6,88.7
71,Senate,5,7422,6,75.4
71,Senate,5,7461,6,95.6
71,Senate,5,7473,6,63.7
71,Senate,5,7734,1,49.9
71,Senate,5,7782,1,59.5
71,Senate,5,7972,6,94.3
71,Senate,5,7986,1,45.2
71,Senate,5,8167,9,83.3
71,Senate,5,8254,6,93.7
71,Senate,5,8446,6,64.9
71,Senate,5,8476,9,93.0
71,Senate,5,8487,6,91.6
71,Senate,5,8514,6,53.0
71,Senate,5,8613,9,60.3
71,Senate,5,8713,6,79.8
71,Senate,5,8863,6,61.5
71,Senate,5,8880,1,8.9
71,Senate,5,8888,1,43.6
71,Senate,5,9106,1,46.4
71,Senate,5,9298,6,93.8
71,Senate,5,9303,6,78.6
