congress,chamber,rollnumber,icpsr,cast_code,prob
75,Senate,1,22,1,
75,Senate,1,193,1,
75,Senate,1,273,1,
75,Senate,1,296,1,
75,Senate,1,319,1,
75,Senate,1,349,1,
75,Senate,1,404,1,
75,Senate,1,437,1,
75,Senate,1,710,9,
75,Senate,1,743,1,
75,Senate,1,843,1,
75,Senate,1,858,1,
75,Senate,1,1027,1,
75,Senate,1,1109,1,
75,Senate,1,1131,1,
75,Senate,1,1224,1,
75,Senate,1,1234,1,
75,Senate,1,1263,1,
75,Senate,1,1365,1,
75,Senate,1,1370,1,
75,Senate,1,1494,1,
75,Senate,1,1497,1,
75,Senate,1,1678,1,
75,Senate,1,1772,1,
75,Senate,1,1986,1,
75,Senate,1,2062,9,
75,Senate,1,2391,1,
75,Senate,1,2589,1,
75,Senate,1,2652,3,
75,Senate,1,2747,1,
75,Senate,1,2901,1,
75,Senate,1,3347,1,
75,Senate,1,3536,1,
75,Senate,1,3544,1,
75,Senate,1,3558,1,
75,Senate,1,3603,1,
75,Senate,1,3625,3,
75,Senate,1,3783,1,
75,Senate,1,3872,1,
75,Senate,1,3919,1,
75,Senate,1,4126,1,
75,Senate,1,4184,1,
75,Senate,1,4227,3,
75,Senate,1,4455,1,
75,Senate,1,4545,1,
75,Senate,1,4704,1,
75,Senate,1,4949,1,
75,Senate,1,4962,9,
75,Senate,1,5274,9,
75,Senate,1,5402,9,
75,Senate,1,5562,1,
75,Senate,1,5641,1,
75,Senate,1,5739,1,
75,Senate,1,5747,1,
75,Senate,1,5752,1,
75,Senate,1,5839,1,
75,Senate,1,5945,1,
75,Senate,1,6119,1,
75,Senate,1,6132,1,
75,Senate,1,6251,1,
75,Senate,1,6293,1,
75,Senate,1,6367,1,
75,Senate,1,6549,1,
75,Senate,1,6627,1,
75,Senate,1,6820,1,
75,Senate,1,6856,1,
75,Senate,1,6960,9,
75,Senate,1,6991,1,
75,Senate,1,7070,1,
75,Senate,1,7126,1,
75,Senate,1,7333,1,
75,Senate,1,7473,1,
75,Senate,1,7524,1,
75,Senate,1,7685,1,
75,Senate,1,7836,1,
75,Senate,1,7986,1,
75,Senate,1,8138,1,
75,Senate,1,8285,1,
75,Senate,1,8287,1,
75,Senate,1,8446,1,
75,Senate,1,8476,7,
75,Senate,1,8613,9,
75,Senate,1,8880,3,
75,Senate,1,9291,1,
75,Senate,1,9303,1,
75,Senate,1,9439,1,
75,Senate,1,9487,1,
75,Senate,1,9538,1,
75,Senate,1,9604,1,
75,Senate,1,9626,1,
75,Senate,1,9713,1,
75,Senate,1,9782,1,
75,Senate,1,9984,9,
75,Senate,1,10047,1,
75,Senate,2,22,6,53.9
75,Senate,2,193,6,94.9
75,Senate,2,273,6,87.6
75,Senate,2,296,1,99.8
75,Senate,2,319,6,92.2
75,Senate,2,349,1,76.0
75,Senate,2,404,6,96.3
75,Senate,2,437,6,96.3
75,Senate,2,710,1,1.0
75,Senate,2,743,6,99.9
75,Senate,2,843,6,94.5
75,Senate,2,858,6,46.9
75,Senate,2,1027,7,99.9
75,Senate,2,1109,6,96.3
75,Senate,2,1131,6,81.7
75,Senate,2,1224,7,37.9
75,Senate,2,1234,6,84.2
75,Senate,2,1263,1,79.4
75,Senate,2,1365,1,64.3
75,Senate,2,1370,6,98.0
75,Senate,2,1494,1,75.2
75,Senate,2,1497,6,97.5
75,Senate,2,1678,1,7.1
75,Senate,2,1772,1,42.2
75,Senate,2,1986,6,96.7
75,Senate,2,2062,1,75.9
75,Senate,2,2391,1,95.2
75,Senate,2,2589,6,84.4
75,Senate,2,2652,9,58.6
75,Senate,2,2747,6,81.9
75,Senate,2,2901,6,97.2
75,Senate,2,3347,6,61.5
75,Senate,2,3536,6,68.0
75,Senate,2,3544,1,90.6
75,Senate,2,3558,7,98.0
75,Senate,2,3603,9,70.0
75,Senate,2,3625,3,53.4
75,Senate,2,3783,6,88.9
75,Senate,2,3872,9,98.4
75,Senate,2,3919,1,99.9
75,Senate,2,4126,6,95.3
75,Senate,2,4184,6,92.3
75,Senate,2,4227,9,92.2
75,Senate,2,4455,6,98.1
75,Senate,2,4545,9,40.3
75,Senate,2,4704,9,98.2
75,Senate,2,4949,6,67.8
75,Senate,2,4962,9,67.3
75,Senate,2,5274,1,51.9
75,Senate,2,5402,6,85.8
75,Senate,2,5562,6,98.6
75,Senate,2,5641,9,86.8
75,Senate,2,5739,1,100.0
75,Senate,2,5747,6,97.0
75,Senate,2,5752,6,29.0
75,Senate,2,5839,6,62.2
75,Senate,2,5945,1,63.8
75,Senate,2,6119,7,89.6
75,Senate,2,6132,1,32.3
75,Senate,2,6251,6,92.2
75,Senate,2,6293,6,90.0
75,Senate,2,6367,1,91.3
75,Senate,2,6549,6,98.8
75,Senate,2,6627,9,59.7
75,Senate,2,6820,6,99.8
75,Senate,2,6856,6,98.6
75,Senate,2,6960,6,75.9
75,Senate,2,6991,6,57.3
75,Senate,2,7070,1,10.1
75,Senate,2,7126,6,87.3
75,Senate,2,7333,6,99.7
75,Senate,2,7473,6,75.9
75,Senate,2,7524,9,97.1
75,Senate,2,7685,6,52.9
75,Senate,2,7836,6,83.2
75,Senate,2,7986,6,84.3
75,Senate,2,8138,6,91.6
75,Senate,2,8285,6,98.1
75,Senate,2,8287,6,97.5
75,Senate,2,8446,6,97.1
75,Senate,2,8476,7,36.6
75,Senate,2,8613,9,71.3
75,Senate,2,8880,1,96.4
75,Senate,2,9291,6,96.5
75,Senate,2,9303,6,95.5
75,Senate,2,9439,1,99.8
75,Senate,2,9487,6,93.0
75,Senate,2,9538,1,77.8
75,Senate,2,9604,1,99.0
75,Senate,2,9626,6,62.5
75,Senate,2,9713,9,71.2
75,Senate,2,9782,6,51.6
75,Senate,2,9984,9,85.5
75,Senate,2,10047,1,99.8
75,Senate,3,22,1,
75,Senate,3,193,1,
75,Senate,3,273,1,
75,Senate,3,296,1,
75,Senate,3,319,1,
75,Senate,3,349,1,
75,Senate,3,404,1,
75,Senate,3,437,1,
75,Senate,3,710,1,
75,Senate,3,743,1,
75,Senate,3,843,1,
75,Senate,3,858,1,
75,Senate,3,1027,7,
75,Senate,3,1109,1,
75,Senate,3,1131,1,
75,Senate,3,1224,7,
75,Senate,3,1234,1,
75,Senate,3,1263,1,
75,Senate,3,1365,6,
75,Senate,3,1370,1,
75,Senate,3,1494,1,
75,Senate,3,1497,1,
75,Senate,3,1678,1,
75,Senate,3,1772,1,
75,Senate,3,1986,1,
75,Senate,3,2062,1,
75,Senate,3,2391,1,
75,Senate,3,2589,1,
75,Senate,3,2652,9,
75,Senate,3,2747,1,
75,Senate,3,2901,1,
75,Senate,3,3347,1,
75,Senate,3,3536,1,
75,Senate,3,3544,1,
75,Senate,3,3558,7,
75,Senate,3,3603,9,
75,Senate,3,3625,7,
75,Senate,3,3783,1,
75,Senate,3,3872,9,
75,Senate,3,3919,1,
75,Senate,3,4126,1,
75,Senate,3,4184,1,
75,Senate,3,4227,9,
75,Senate,3,4455,1,
75,Senate,3,4545,9,
75,Senate,3,4704,9,
75,Senate,3,4949,1,
75,Senate,3,4962,9,
75,Senate,3,5274,1,
75,Senate,3,5402,1,
75,Senate,3,5562,1,
75,Senate,3,5641,9,
75,Senate,3,5739,1,
75,Senate,3,5747,1,
75,Senate,3,5752,1,
75,Senate,3,5839,1,
75,Senate,3,5945,1,
75,Senate,3,6119,7,
75,Senate,3,6132,1,
75,Senate,3,6251,1,
75,Senate,3,6293,1,
75,Senate,3,6367,1,
75,Senate,3,6549,1,
75,Senate,3,6627,9,
75,Senate,3,6820,1,
75,Senate,3,6856,1,
75,Senate,3,6960,1,
75,Senate,3,6991,1,
75,Senate,3,7070,1,
75,Senate,3,7126,1,
75,Senate,3,7333,1,
75,Senate,3,7473,1,
75,Senate,3,7524,9,
75,Senate,3,7685,1,
75,Senate,3,7836,1,
75,Senate,3,7986,1,
75,Senate,3,8138,1,
75,Senate,3,8285,1,
75,Senate,3,8287,1,
75,Senate,3,8446,1,
75,Senate,3,8476,7,
75,Senate,3,8613,9,
75,Senate,3,8880,1,
75,Senate,3,9291,1,
75,Senate,3,9303,1,
75,Senate,3,9439,1,
75,Senate,3,9487,1,
75,Senate,3,9538,1,
75,Senate,3,9604,1,
75,Senate,3,9626,1,
75,Senate,3,9713,9,
75,Senate,3,9782,1,
75,Senate,3,9984,9,
75,Senate,3,10047,1,
75,Senate,4,22,1,76.1
75,Senate,4,193,4,86.0
75,Senate,4,273,6,77.3
75,Senate,4,296,1,100.0
75,Senate,4,319,6,88.4
75,Senate,4,349,1,89.8
75,Senate,4,404,6,93.2
75,Senate,4,437,6,95.4
75,Senate,4,710,6,97.3
75,Senate,4,743,6,99.9
75,Senate,4,843,6,82.3
75,Senate,4,858,1,91.5
75,Senate,4,1027,1,100.0
75,Senate,4,1109,6,95.9
75,Senate,4,1131,6,77.9
75,Senate,4,1224,1,69.5
75,Senate,4,1234,6,54.9
75,Senate,4,1263,1,93.0
75,Senate,4,1365,1,95.7
75,Senate,4,1370,6,98.3
75,Senate,4,1494,1,98.5
75,Senate,4,1497,7,93.1
75,Senate,4,1678,6,84.1
75,Senate,4,1772,9,19.6
75,Senate,4,1986,6,91.5
75,Senate,4,2062,1,94.1
75,Senate,4,2391,1,99.9
75,Senate,4,2589,6,89.3
75,Senate,4,2652,9,17.7
75,Senate,4,2747,6,64.6
75,Senate,4,2901,6,91.3
75,Senate,4,3347,1,81.6
75,Senate,4,3536,6,36.6
75,Senate,4,3544,1,93.4
75,Senate,4,3558,2,100.0
75,Senate,4,3603,1,60.1
75,Senate,4,3625,7,44.9
75,Senate,4,3783,6,86.4
75,Senate,4,3872,6,99.3
75,Senate,4,3919,1,100.0
75,Senate,4,4126,6,96.5
75,Senate,4,4184,1,15.0
75,Senate,4,4227,6,83.8
75,Senate,4,4367,6,80.9
75,Senate,4,4455,6,94.5
75,Senate,4,4545,9,5.0
75,Senate,4,4704,9,99.1
75,Senate,4,4949,6,30.8
75,Senate,4,4962,9,97.2
75,Senate,4,5274,1,63.8
75,Senate,4,5402,1,42.2
75,Senate,4,5562,6,96.4
75,Senate,4,5641,6,86.4
75,Senate,4,5739,1,100.0
75,Senate,4,5747,1,3.5
75,Senate,4,5752,1,75.9
75,Senate,4,5839,6,19.0
75,Senate,4,5945,1,79.9
75,Senate,4,6119,6,76.7
75,Senate,4,6132,1,72.0
75,Senate,4,6251,9,76.4
75,Senate,4,6293,6,79.4
75,Senate,4,6367,1,99.8
75,Senate,4,6549,6,99.1
75,Senate,4,6627,6,65.6
75,Senate,4,6820,6,99.8
75,Senate,4,6856,6,97.9
75,Senate,4,6960,1,62.7
75,Senate,4,6991,1,85.4
75,Senate,4,7070,6,81.0
75,Senate,4,7126,6,64.3
75,Senate,4,7333,4,99.7
75,Senate,4,7473,6,66.9
75,Senate,4,7524,6,91.5
75,Senate,4,7685,5,45.0
75,Senate,4,7836,6,55.6
75,Senate,4,7986,6,86.8
75,Senate,4,8138,1,26.5
75,Senate,4,8285,6,97.1
75,Senate,4,8287,1,5.6
75,Senate,4,8446,6,96.0
75,Senate,4,8476,7,79.7
75,Senate,4,8613,1,34.5
75,Senate,4,8880,2,100.0
75,Senate,4,9291,6,94.4
75,Senate,4,9303,6,87.6
75,Senate,4,9439,3,100.0
75,Senate,4,9487,9,91.4
75,Senate,4,9538,1,91.0
75,Senate,4,9604,1,100.0
75,Senate,4,9626,9,36.0
75,Senate,4,9713,5,79.5
75,Senate,4,9782,9,26.3
75,Senate,4,9984,9,56.9
75,Senate,4,10047,1,100.0
75,Senate,5,22,6,50.0
75,Senate,5,193,1,66.5
75,Senate,5,273,9,56.5
75,Senate,5,296,1,23.3
75,Senate,5,319,6,43.8
75,Senate,5,349,1,38.6
75,Senate,5,404,9,62.3
75,Senate,5,437,1,58.0
75,Senate,5,710,6,25.4
75,Senate,5,743,6,27.0
75,Senate,5,843,1,70.2
75,Senate,5,858,6,44.9
75,Senate,5,1027,6,76.0
75,Senate,5,1109,7,57.2
75,Senate,5,1131,6,50.7
75,Senate,5,1224,6,61.4
75,Senate,5,1234,1,64.5
75,Senate,5,1263,6,61.6
75,Senate,5,1365,6,48.6
75,Senate,5,1370,6,42.5
75,Senate,5,1494,6,51.2
75,Senate,5,1497,9,69.5
75,Senate,5,1678,1,61.7
75,Senate,5,1772,1,55.0
75,Senate,5,1986,6,32.9
75,Senate,5,2062,1,41.6
75,Senate,5,2391,1,37.0
75,Senate,5,2589,1,44.9
75,Senate,5,2652,9,57.1
75,Senate,5,2747,1,55.9
75,Senate,5,2901,6,27.3
75,Senate,5,3347,6,39.8
75,Senate,5,3536,6,45.2
75,Senate,5,3544,6,69.7
75,Senate,5,3558,6,66.5
75,Senate,5,3603,6,45.0
75,Senate,5,3625,6,61.1
75,Senate,5,3783,6,47.6
75,Senate,5,3872,6,47.3
75,Senate,5,3919,4,74.8
75,Senate,5,4126,4,47.7
75,Senate,5,4184,1,59.6
75,Senate,5,4227,6,39.6
75,Senate,5,4367,6,47.6
75,Senate,5,4455,1,73.8
75,Senate,5,4545,6,45.7
75,Senate,5,4704,6,46.8
75,Senate,5,4949,6,42.7
75,Senate,5,4962,9,48.0
75,Senate,5,5274,6,57.8
75,Senate,5,5402,9,N/A
75,Senate,5,5562,9,70.9
75,Senate,5,5641,6,50.4
75,Senate,5,5739,6,83.6
75,Senate,5,5747,1,58.5
75,Senate,5,5752,1,36.0
75,Senate,5,5839,1,60.4
75,Senate,5,5945,1,41.2
75,Senate,5,6119,7,60.2
75,Senate,5,6132,9,58.9
75,Senate,5,6251,1,66.9
75,Senate,5,6293,6,40.9
75,Senate,5,6367,6,59.0
75,Senate,5,6549,1,58.5
75,Senate,5,6627,9,39.5
75,Senate,5,6820,1,68.9
75,Senate,5,6856,9,64.7
75,Senate,5,6960,1,63.9
75,Senate,5,6991,1,59.2
75,Senate,5,7070,1,57.9
75,Senate,5,7126,9,64.0
75,Senate,5,7333,3,68.8
75,Senate,5,7473,1,49.2
75,Senate,5,7524,1,69.9
75,Senate,5,7685,6,58.0
75,Senate,5,7836,1,62.1
75,Senate,5,7986,1,46.6
75,Senate,5,8138,1,69.2
75,Senate,5,8285,1,63.6
75,Senate,5,8287,1,66.0
75,Senate,5,8446,1,60.4
75,Senate,5,8476,7,39.3
75,Senate,5,8613,9,46.3
75,Senate,5,8880,9,62.4
75,Senate,5,9291,1,61.0
75,Senate,5,9303,1,66.8
75,Senate,5,9439,7,72.3
75,Senate,5,9487,9,54.7
75,Senate,5,9538,6,61.8
75,Senate,5,9604,6,69.9
75,Senate,5,9626,1,50.8
75,Senate,5,9713,1,40.8
75,Senate,5,9782,1,47.6
75,Senate,5,9984,1,66.8
75,Senate,5,10047,1,26.5
75,Senate,6,22,1,69.4
75,Senate,6,193,6,85.7
75,Senate,6,273,9,62.2
75,Senate,6,296,1,99.9
75,Senate,6,319,6,66.4
75,Senate,6,349,1,90.3
75,Senate,6,404,9,80.9
75,Senate,6,437,6,74.8
75,Senate,6,710,6,97.5
75,Senate,6,743,6,98.0
75,Senate,6,843,6,91.4
75,Senate,6,858,1,65.0
75,Senate,6,1027,1,100.0
75,Senate,6,1109,9,73.7
75,Senate,6,1131,6,47.2
75,Senate,6,1224,1,84.7
75,Senate,6,1234,6,75.8
75,Senate,6,1263,1,91.7
75,Senate,6,1365,1,76.9
75,Senate,6,1370,1,22.3
75,Senate,6,1494,6,14.6
75,Senate,6,1497,6,91.9
75,Senate,6,1678,1,24.0
75,Senate,6,1772,1,59.8
75,Senate,6,1986,6,88.2
75,Senate,6,2062,1,89.5
75,Senate,6,2391,1,98.2
75,Senate,6,2589,1,54.7
75,Senate,6,2652,9,45.0
75,Senate,6,2747,6,56.6
75,Senate,6,2901,6,95.4
75,Senate,6,3347,6,55.8
75,Senate,6,3536,6,45.5
75,Senate,6,3544,1,96.2
75,Senate,6,3558,1,99.3
75,Senate,6,3603,1,52.9
75,Senate,6,3625,3,80.8
75,Senate,6,3783,1,42.3
75,Senate,6,3872,6,73.4
75,Senate,6,3919,2,100.0
75,Senate,6,4126,6,65.8
75,Senate,6,4184,1,28.2
75,Senate,6,4227,1,26.8
75,Senate,6,4367,6,54.9
75,Senate,6,4455,6,96.6
75,Senate,6,4545,1,69.4
75,Senate,6,4704,1,26.8
75,Senate,6,4949,1,49.7
75,Senate,6,4962,9,77.5
75,Senate,6,5274,1,78.8
75,Senate,6,5402,5,81.5
75,Senate,6,5562,6,94.4
75,Senate,6,5641,6,52.1
75,Senate,6,5739,1,100.0
75,Senate,6,5747,6,76.8
75,Senate,6,5752,6,11.3
75,Senate,6,5839,6,56.6
75,Senate,6,5945,2,84.5
