congress,chamber,rollnumber,icpsr,cast_code,prob
70,Senate,1,273,6,92.7
70,Senate,1,437,6,92.3
70,Senate,1,529,6,56.5
70,Senate,1,716,1,93.0
70,Senate,1,743,6,96.6
70,Senate,1,761,6,97.5
70,Senate,1,791,1,24.5
70,Senate,1,858,1,17.3
70,Senate,1,982,6,92.2
70,Senate,1,1070,1,5.4
70,Senate,1,1091,1,44.0
70,Senate,1,1157,6,46.2
70,Senate,1,1494,6,64.7
70,Senate,1,1498,6,92.0
70,Senate,1,2062,9,76.5
70,Senate,1,2095,6,70.1
70,Senate,1,2269,1,81.6
70,Senate,1,2302,6,12.1
70,Senate,1,2494,1,91.8
70,Senate,1,2595,6,94.6
70,Senate,1,2782,2,98.3
70,Senate,1,2844,1,96.7
70,Senate,1,2863,6,51.7
70,Senate,1,3120,6,87.0
70,Senate,1,3124,1,93.0
70,Senate,1,3216,6,81.4
70,Senate,1,3347,6,89.0
70,Senate,1,3536,6,90.7
70,Senate,1,3544,9,68.7
70,Senate,1,3599,1,99.1
70,Senate,1,3625,6,80.1
70,Senate,1,3645,1,94.9
70,Senate,1,3676,2,68.3
70,Senate,1,3721,1,96.8
70,Senate,1,3789,1,97.6
70,Senate,1,3919,1,93.7
70,Senate,1,4120,6,91.8
70,Senate,1,4126,6,87.4
70,Senate,1,4207,6,77.0
70,Senate,1,4227,6,94.5
70,Senate,1,4280,6,91.8
70,Senate,1,4654,6,87.9
70,Senate,1,4962,6,69.0
70,Senate,1,5023,5,85.0
70,Senate,1,5065,6,44.1
70,Senate,1,5172,6,73.3
70,Senate,1,5227,1,93.3
70,Senate,1,5274,2,17.2
70,Senate,1,5402,6,96.6
70,Senate,1,6109,6,94.5
70,Senate,1,6293,6,94.0
70,Senate,1,6335,1,96.8
70,Senate,1,6349,6,91.4
70,Senate,1,6367,6,45.0
70,Senate,1,6441,1,94.1
70,Senate,1,6750,1,99.4
70,Senate,1,6856,6,95.3
70,Senate,1,6954,9,21.8
70,Senate,1,6960,5,94.5
70,Senate,1,6991,6,86.7
70,Senate,1,7023,2,91.0
70,Senate,1,7120,1,17.9
70,Senate,1,7422,1,98.2
70,Senate,1,7461,1,71.4
70,Senate,1,7473,6,88.3
70,Senate,1,7734,1,32.0
70,Senate,1,7782,1,97.6
70,Senate,1,7786,6,93.4
70,Senate,1,7972,9,68.9
70,Senate,1,7986,6,85.1
70,Senate,1,8167,1,86.6
70,Senate,1,8254,1,43.1
70,Senate,1,8446,6,93.6
70,Senate,1,8476,6,89.9
70,Senate,1,8487,1,94.8
70,Senate,1,8514,6,81.6
70,Senate,1,8613,1,13.7
70,Senate,1,8713,1,96.3
70,Senate,1,8863,2,17.6
70,Senate,1,8880,1,81.7
70,Senate,1,8888,6,89.9
70,Senate,1,9106,6,82.0
70,Senate,1,9303,6,97.0
70,Senate,1,9456,6,91.7
70,Senate,1,9538,6,76.1
70,Senate,1,9548,6,85.5
70,Senate,1,9713,6,80.0
70,Senate,1,9782,6,85.8
70,Senate,1,9788,5,91.8
70,Senate,1,9842,1,95.8
70,Senate,1,9862,1,99.5
70,Senate,1,9875,1,96.1
70,Senate,1,9984,6,96.7
70,Senate,1,10203,6,22.3
70,Senate,2,273,6,99.9
70,Senate,2,437,6,99.9
70,Senate,2,529,6,82.7
70,Senate,2,716,1,95.3
70,Senate,2,743,6,100.0
70,Senate,2,761,6,100.0
70,Senate,2,791,1,7.0
70,Senate,2,858,6,96.8
70,Senate,2,982,6,99.9
70,Senate,2,1070,6,99.9
70,Senate,2,1091,6,84.8
70,Senate,2,1157,6,73.8
70,Senate,2,1494,6,80.3
70,Senate,2,1498,6,99.9
70,Senate,2,2062,5,97.2
70,Senate,2,2095,6,91.0
70,Senate,2,2269,1,92.3
70,Senate,2,2302,1,95.9
70,Senate,2,2494,1,99.0
70,Senate,2,2595,6,99.9
70,Senate,2,2782,9,100.0
70,Senate,2,2844,1,99.3
70,Senate,2,2863,6,78.3
70,Senate,2,3120,6,99.5
70,Senate,2,3124,1,98.9
70,Senate,2,3216,6,98.4
70,Senate,2,3347,6,98.6
70,Senate,2,3536,6,99.8
70,Senate,2,3544,9,94.0
70,Senate,2,3599,1,100.0
70,Senate,2,3625,6,98.2
70,Senate,2,3645,1,99.0
70,Senate,2,3676,9,78.9
70,Senate,2,3721,1,99.7
70,Senate,2,3789,1,99.9
70,Senate,2,3919,1,97.9
70,Senate,2,4120,6,99.9
70,Senate,2,4126,6,99.4
70,Senate,2,4207,6,97.3
70,Senate,2,4227,6,100.0
70,Senate,2,4280,6,99.9
70,Senate,2,4654,6,98.2
70,Senate,2,4962,6,82.2
70,Senate,2,5023,5,99.3
70,Senate,2,5065,1,51.8
70,Senate,2,5172,6,96.0
70,Senate,2,5227,1,97.4
70,Senate,2,5274,9,98.9
70,Senate,2,5402,6,100.0
70,Senate,2,6109,6,100.0
70,Senate,2,6293,6,100.0
70,Senate,2,6335,1,99.7
70,Senate,2,6349,6,99.5
70,Senate,2,6367,6,54.8
70,Senate,2,6441,1,96.8
70,Senate,2,6750,1,100.0
70,Senate,2,6856,6,100.0
70,Senate,2,6954,6,91.4
70,Senate,2,6960,5,99.8
70,Senate,2,6991,6,97.5
70,Senate,2,7023,2,99.0
70,Senate,2,7120,6,98.5
70,Senate,2,7422,1,100.0
70,Senate,2,7461,1,87.3
70,Senate,2,7473,6,99.7
70,Senate,2,7734,6,93.4
70,Senate,2,7782,1,99.7
70,Senate,2,7786,6,99.9
70,Senate,2,7972,9,80.3
70,Senate,2,7986,6,99.1
70,Senate,2,8167,1,93.4
70,Senate,2,8254,1,34.9
70,Senate,2,8446,6,99.9
70,Senate,2,8476,6,98.9
70,Senate,2,8487,1,99.8
70,Senate,2,8514,6,98.4
70,Senate,2,8613,6,99.4
70,Senate,2,8713,1,99.7
70,Senate,2,8863,6,98.9
70,Senate,2,8880,1,91.9
70,Senate,2,8888,6,99.7
70,Senate,2,9106,6,98.5
70,Senate,2,9303,6,100.0
70,Senate,2,9456,6,99.9
70,Senate,2,9538,6,97.3
70,Senate,2,9548,6,99.3
70,Senate,2,9713,6,97.7
70,Senate,2,9782,6,99.4
70,Senate,2,9788,5,99.9
70,Senate,2,9842,1,99.5
70,Senate,2,9862,1,100.0
70,Senate,2,9875,1,99.8
70,Senate,2,9984,6,100.0
70,Senate,2,10203,1,87.9
70,Senate,3,273,1,96.4
70,Senate,3,437,1,95.6
70,Senate,3,529,1,60.4
70,Senate,3,716,6,94.4
70,Senate,3,743,1,98.2
70,Senate,3,761,1,99.4
70,Senate,3,791,6,22.5
70,Senate,3,858,6,6.9
70,Senate,3,982,1,96.4
70,Senate,3,1070,1,98.5
70,Senate,3,1091,6,35.4
70,Senate,3,1157,1,51.8
70,Senate,3,1494,1,81.0
70,Senate,3,1498,1,95.1
70,Senate,3,2062,9,86.0
70,Senate,3,2095,1,83.7
70,Senate,3,2269,1,28.2
70,Senate,3,2302,1,17.5
70,Senate,3,2494,6,87.8
70,Senate,3,2595,1,98.2
70,Senate,3,2782,9,98.4
70,Senate,3,2844,6,97.5
70,Senate,3,2863,1,55.3
70,Senate,3,3120,1,93.5
70,Senate,3,3124,6,90.5
70,Senate,3,3216,1,86.5
70,Senate,3,3347,1,96.5
70,Senate,3,3536,1,96.0
70,Senate,3,3544,9,75.8
70,Senate,3,3599,6,99.4
70,Senate,3,3625,1,85.9
70,Senate,3,3645,6,94.4
70,Senate,3,3676,9,52.2
70,Senate,3,3721,6,97.0
70,Senate,3,3789,6,97.8
70,Senate,3,3919,6,93.2
70,Senate,3,4120,1,95.0
70,Senate,3,4126,1,91.2
70,Senate,3,4207,1,83.2
70,Senate,3,4227,1,97.6
70,Senate,3,4280,1,94.8
70,Senate,3,4654,1,96.0
70,Senate,3,4962,1,85.0
70,Senate,3,5023,2,90.9
70,Senate,3,5065,1,61.3
70,Senate,3,5172,1,83.0
70,Senate,3,5227,6,92.8
70,Senate,3,5274,9,89.0
70,Senate,3,5402,1,99.1
70,Senate,3,6109,1,97.2
70,Senate,3,6293,1,97.3
70,Senate,3,6335,6,96.9
70,Senate,3,6349,1,97.4
70,Senate,3,6367,1,61.0
70,Senate,3,6441,6,95.5
70,Senate,3,6750,6,99.6
70,Senate,3,6856,1,97.7
70,Senate,3,6954,1,91.1
70,Senate,3,6960,2,98.5
70,Senate,3,6991,1,95.5
70,Senate,3,7023,5,86.1
70,Senate,3,7120,9,86.8
70,Senate,3,7422,6,98.4
70,Senate,3,7461,6,55.1
70,Senate,3,7473,1,93.2
70,Senate,3,7734,6,25.4
70,Senate,3,7782,6,98.4
70,Senate,3,7786,1,97.0
70,Senate,3,7972,9,52.8
70,Senate,3,7986,1,89.4
70,Senate,3,8167,6,81.6
70,Senate,3,8254,6,25.0
70,Senate,3,8446,1,96.6
70,Senate,3,8476,1,96.9
70,Senate,3,8487,6,92.6
70,Senate,3,8514,1,86.6
70,Senate,3,8613,6,8.7
70,Senate,3,8713,6,95.9
70,Senate,3,8863,5,11.2
70,Senate,3,8880,6,72.3
70,Senate,3,8888,1,92.9
70,Senate,3,9106,1,87.0
70,Senate,3,9303,1,99.0
70,Senate,3,9456,1,95.6
70,Senate,3,9538,1,84.4
70,Senate,3,9548,1,90.2
70,Senate,3,9713,1,84.5
70,Senate,3,9782,1,92.5
70,Senate,3,9788,2,95.7
70,Senate,3,9842,9,95.4
70,Senate,3,9862,6,99.7
70,Senate,3,9875,6,95.1
70,Senate,3,9984,1,99.2
70,Senate,3,10203,1,33.8
70,Senate,4,273,6,97.0
70,Senate,4,437,6,96.3
70,Senate,4,529,6,63.1
70,Senate,4,716,1,94.1
70,Senate,4,743,6,98.6
70,Senate,4,761,6,99.5
70,Senate,4,791,1,21.3
70,Senate,4,858,1,7.4
70,Senate,4,982,6,96.9
70,Senate,4,1070,6,98.6
70,Senate,4,1091,1,33.8
70,Senate,4,1157,6,54.0
70,Senate,4,1494,6,78.5
70,Senate,4,1498,6,95.9
70,Senate,4,2062,6,86.7
70,Senate,4,2095,6,82.8
70,Senate,4,2269,1,77.5
70,Senate,4,2302,6,13.8
70,Senate,4,2494,1,91.5
70,Senate,4,2595,6,98.4
70,Senate,4,2782,2,99.0
70,Senate,4,2844,1,97.7
70,Senate,4,2863,6,58.2
70,Senate,4,3120,6,94.1
70,Senate,4,3124,1,93.0
70,Senate,4,3216,6,88.0
70,Senate,4,3347,6,96.2
70,Senate,4,3536,5,96.5
70,Senate,4,3544,6,77.6
70,Senate,4,3599,1,99.6
70,Senate,4,3625,6,87.3
70,Senate,4,3645,1,95.5
70,Senate,4,3676,2,59.0
70,Senate,4,3721,1,97.7
70,Senate,4,3789,1,98.5
70,Senate,4,3919,1,94.2
70,Senate,4,4120,6,95.8
70,Senate,4,4126,6,92.3
70,Senate,4,4207,6,84.8
70,Senate,4,4227,6,98.0
70,Senate,4,4280,6,95.7
70,Senate,4,4654,6,95.7
70,Senate,4,4962,6,82.5
70,Senate,4,5023,5,91.9
70,Senate,4,5065,6,56.6
70,Senate,4,5172,6,83.9
70,Senate,4,5227,1,93.7
70,Senate,4,5274,9,90.2
70,Senate,4,5402,6,99.2
70,Senate,4,6109,6,97.8
70,Senate,4,6293,6,97.8
70,Senate,4,6335,1,97.6
70,Senate,4,6349,6,97.3
70,Senate,4,6367,6,57.3
70,Senate,4,6441,1,95.3
70,Senate,4,6750,1,99.8
70,Senate,4,6856,6,98.2
70,Senate,4,6954,6,89.6
70,Senate,4,6960,5,98.5
70,Senate,4,6991,6,95.0
70,Senate,4,7023,1,90.4
70,Senate,4,7120,6,88.2
70,Senate,4,7422,2,98.9
70,Senate,4,7461,1,63.2
70,Senate,4,7473,6,94.1
70,Senate,4,7734,1,23.4
70,Senate,4,7782,1,98.6
70,Senate,4,7786,6,97.5
70,Senate,4,7972,6,40.2
70,Senate,4,7986,6,90.7
70,Senate,4,8167,1,84.7
70,Senate,4,8254,1,29.0
70,Senate,4,8446,6,97.2
70,Senate,4,8476,6,96.7
70,Senate,4,8487,1,95.3
70,Senate,4,8514,6,88.0
70,Senate,4,8613,1,7.6
70,Senate,4,8713,1,97.1
70,Senate,4,8863,1,10.0
70,Senate,4,8880,1,77.6
70,Senate,4,8888,6,93.9
70,Senate,4,9106,6,88.4
70,Senate,4,9303,6,99.2
70,Senate,4,9456,6,96.3
70,Senate,4,9538,6,85.5
70,Senate,4,9548,6,91.4
70,Senate,4,9713,6,86.0
70,Senate,4,9782,6,93.2
70,Senate,4,9788,5,96.4
70,Senate,4,9842,1,96.5
70,Senate,4,9862,1,99.9
70,Senate,4,9875,1,96.8
70,Senate,4,9984,6,99.3
70,Senate,4,10203,6,28.0
70,Senate,5,273,6,96.8
70,Senate,5,437,6,96.9
70,Senate,5,529,6,70.4
70,Senate,5,716,1,90.8
70,Senate,5,743,6,98.6
70,Senate,5,761,6,97.7
70,Senate,5,791,1,15.6
70,Senate,5,858,1,14.3
70,Senate,5,982,6,96.3
70,Senate,5,1070,1,5.3
70,Senate,5,1091,1,29.7
70,Senate,5,1157,6,60.2
70,Senate,5,1494,6,70.7
70,Senate,5,1498,6,96.8
70,Senate,5,2062,6,86.2
70,Senate,5,2095,6,78.0
70,Senate,5,2269,1,75.3
70,Senate,5,2302,6,17.5
70,Senate,5,2494,1,87.9
