congress,chamber,rollnumber,icpsr,cast_code,prob
73,Senate,1,22,1,99.3
73,Senate,1,273,1,99.7
73,Senate,1,296,9,100.0
73,Senate,1,319,1,99.9
73,Senate,1,349,1,100.0
73,Senate,1,404,1,99.2
73,Senate,1,425,1,99.9
73,Senate,1,437,1,100.0
73,Senate,1,743,1,95.5
73,Senate,1,843,1,49.0
73,Senate,1,858,6,22.4
73,Senate,1,982,1,99.4
73,Senate,1,1109,1,100.0
73,Senate,1,1224,1,100.0
73,Senate,1,1234,1,69.3
73,Senate,1,1365,1,86.8
73,Senate,1,1370,1,100.0
73,Senate,1,1494,2,85.5
73,Senate,1,1497,1,80.5
73,Senate,1,1503,6,5.3
73,Senate,1,1772,1,92.4
73,Senate,1,1986,1,90.3
73,Senate,1,2035,1,100.0
73,Senate,1,2062,1,99.8
73,Senate,1,2083,6,52.5
73,Senate,1,2095,1,95.3
73,Senate,1,2289,9,66.6
73,Senate,1,2302,6,6.1
73,Senate,1,2391,1,98.0
73,Senate,1,2575,1,85.0
73,Senate,1,2589,9,100.0
73,Senate,1,2595,1,85.6
73,Senate,1,2747,1,99.4
73,Senate,1,3124,1,93.2
73,Senate,1,3216,1,100.0
73,Senate,1,3347,9,53.4
73,Senate,1,3536,1,97.8
73,Senate,1,3625,1,100.0
73,Senate,1,3653,1,97.0
73,Senate,1,3706,1,99.3
73,Senate,1,3919,1,98.2
73,Senate,1,4126,1,100.0
73,Senate,1,4177,1,92.7
73,Senate,1,4190,9,85.9
73,Senate,1,4227,1,98.8
73,Senate,1,4274,1,97.8
73,Senate,1,4654,9,55.3
73,Senate,1,4962,1,75.0
73,Senate,1,5106,1,98.6
73,Senate,1,5172,9,99.9
73,Senate,1,5227,1,98.5
73,Senate,1,5274,1,100.0
73,Senate,1,5402,6,48.2
73,Senate,1,5641,2,100.0
73,Senate,1,5747,2,100.0
73,Senate,1,5752,1,100.0
73,Senate,1,5758,1,64.0
73,Senate,1,6119,1,98.1
73,Senate,1,6132,1,83.0
73,Senate,1,6251,1,73.9
73,Senate,1,6293,1,99.1
73,Senate,1,6367,1,94.5
73,Senate,1,6441,9,99.5
73,Senate,1,6815,1,96.5
73,Senate,1,6856,1,99.2
73,Senate,1,6954,5,35.2
73,Senate,1,6960,1,49.6
73,Senate,1,6991,6,45.6
73,Senate,1,7126,1,82.5
73,Senate,1,7252,1,91.1
73,Senate,1,7473,1,100.0
73,Senate,1,7524,1,73.3
73,Senate,1,7782,1,97.5
73,Senate,1,7836,2,86.2
73,Senate,1,7972,1,83.6
73,Senate,1,7986,1,100.0
73,Senate,1,8138,1,43.8
73,Senate,1,8254,9,81.5
73,Senate,1,8446,1,99.8
73,Senate,1,8476,6,47.1
73,Senate,1,8613,1,100.0
73,Senate,1,8880,1,91.1
73,Senate,1,8888,1,100.0
73,Senate,1,9291,1,99.7
73,Senate,1,9303,1,87.5
73,Senate,1,9439,1,95.6
73,Senate,1,9456,1,99.9
73,Senate,1,9538,1,100.0
73,Senate,1,9604,1,99.5
73,Senate,1,9626,1,99.6
73,Senate,1,9713,1,100.0
73,Senate,1,9724,1,98.7
73,Senate,1,9782,1,99.8
73,Senate,1,9984,9,46.5
73,Senate,1,10047,1,99.0
73,Senate,2,22,1,86.5
73,Senate,2,273,1,87.9
73,Senate,2,296,1,99.3
73,Senate,2,319,1,90.3
73,Senate,2,349,1,96.7
73,Senate,2,404,1,83.8
73,Senate,2,425,1,99.5
73,Senate,2,437,1,90.0
73,Senate,2,743,6,23.8
73,Senate,2,843,1,31.7
73,Senate,2,858,6,65.7
73,Senate,2,982,1,85.9
73,Senate,2,1109,1,90.6
73,Senate,2,1224,1,97.2
73,Senate,2,1234,1,38.7
73,Senate,2,1365,1,48.5
73,Senate,2,1370,1,90.5
73,Senate,2,1494,1,44.2
73,Senate,2,1497,6,40.5
73,Senate,2,1503,9,83.1
73,Senate,2,1772,6,36.1
73,Senate,2,1986,6,32.0
73,Senate,2,2035,2,97.7
73,Senate,2,2062,1,93.4
73,Senate,2,2083,9,29.5
73,Senate,2,2095,6,28.7
73,Senate,2,2289,9,21.1
73,Senate,2,2302,1,80.9
73,Senate,2,2391,9,86.5
73,Senate,2,2575,1,48.0
73,Senate,2,2589,9,94.7
73,Senate,2,2595,1,56.0
73,Senate,2,2747,6,14.1
73,Senate,2,3124,1,83.4
73,Senate,2,3216,1,96.6
73,Senate,2,3347,6,87.0
73,Senate,2,3536,1,79.2
73,Senate,2,3625,1,97.2
73,Senate,2,3653,1,97.8
73,Senate,2,3706,1,86.0
73,Senate,2,3919,1,97.6
73,Senate,2,4126,1,92.6
73,Senate,2,4177,1,95.9
73,Senate,2,4190,6,45.9
73,Senate,2,4227,1,82.8
73,Senate,2,4274,1,99.5
73,Senate,2,4962,1,26.0
73,Senate,2,5106,1,98.6
73,Senate,2,5172,9,95.3
73,Senate,2,5227,1,98.0
73,Senate,2,5274,1,96.2
73,Senate,2,5402,6,75.2
73,Senate,2,5641,1,94.1
73,Senate,2,5747,2,89.8
73,Senate,2,5752,1,97.8
73,Senate,2,5758,6,82.2
73,Senate,2,6119,1,80.1
73,Senate,2,6132,6,51.6
73,Senate,2,6251,6,51.5
73,Senate,2,6293,1,83.8
73,Senate,2,6367,1,71.3
73,Senate,2,6441,1,99.8
73,Senate,2,6815,1,75.9
73,Senate,2,6856,6,16.5
