congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
118,Senate,42102,41,0,AL,200,,,"TUBERVILLE, Thomas Hawley (Tommy)",T000278,1954,,0.936,-0.352,-11.78058,0.88102,93,3,,0.687,0.248
118,Senate,42300,41,0,AL,200,,,"BRITT, Katie Elizabeth",B001319,1982,,0.581,0.812,-4.01985,0.95857,95,1,,0.581,0.812
118,Senate,40300,81,0,AK,200,,,"MURKOWSKI, Lisa",M001153,1957,,0.211,-0.304,-20.24379,0.80249,92,10,,0.209,-0.312
118,Senate,41500,81,0,AK,200,,,"SULLIVAN, Daniel Scott",S001198,1964,,0.486,0.075,-18.95641,0.81379,92,9,,0.474,0.453
118,Senate,41905,61,0,AZ,100,,,"KELLY, Mark Edward",K000377,1964,,-0.18,0.299,-9.47848,0.90004,90,4,,-0.405,0.289
118,Senate,91300,61,0,AZ,328,,,"SINEMA, Kyrsten",S001191,1976,,-0.406,0.584,-8.0529,0.91873,95,3,,-0.406,0.584
118,Senate,20101,42,0,AR,200,,,"BOOZMAN, John",B001236,1950,,0.425,0.333,-10.4613,0.89676,96,0,,0.351,0.841
118,Senate,21301,42,0,AR,200,,,"COTTON, Tom",C001095,1977,,0.604,0.151,-8.71614,0.91144,94,4,,0.531,0.707
118,Senate,42104,71,0,CA,100,,,"PADILLA, Alejandro (Alex)",P000145,1973,,-0.405,-0.376,-1.2952,0.98587,91,1,,-0.274,-0.476
118,Senate,49300,71,0,CA,100,,,"FEINSTEIN, Dianne",F000062,1933,,-0.268,-0.183,-0.01964,0.99907,21,0,,-0.108,-0.438
118,Senate,40910,62,0,CO,100,,,"BENNET, Michael F.",B001267,1964,,-0.23,-0.169,-5.53555,0.94397,96,1,,-0.457,0.28
118,Senate,42101,62,0,CO,100,,,"HICKENLOOPER, John Wright",H000273,1952,,-0.238,-0.067,-5.04284,0.94883,96,1,,-0.457,0.28
118,Senate,20707,1,0,CT,100,,,"MURPHY, Christopher",M001169,1973,,-0.271,-0.198,-5.72157,0.94214,96,2,,-0.557,0.194
