congress,chamber,rollnumber,icpsr,cast_code,prob
72,Senate,1,273,1,
72,Senate,1,296,2,
72,Senate,1,349,1,
72,Senate,1,404,1,
72,Senate,1,425,2,
72,Senate,1,437,7,
72,Senate,1,716,2,
72,Senate,1,743,1,
72,Senate,1,761,8,
72,Senate,1,858,8,
72,Senate,1,982,1,
72,Senate,1,1070,2,
72,Senate,1,1091,1,
72,Senate,1,1224,1,
72,Senate,1,1234,1,
72,Senate,1,1370,1,
72,Senate,1,1494,8,
72,Senate,1,1497,1,
72,Senate,1,1503,2,
72,Senate,1,1986,1,
72,Senate,1,2035,1,
72,Senate,1,2062,1,
72,Senate,1,2083,1,
72,Senate,1,2095,8,
72,Senate,1,2289,8,
72,Senate,1,2302,2,
72,Senate,1,2391,2,
72,Senate,1,2575,2,
72,Senate,1,2595,1,
72,Senate,1,3124,2,
72,Senate,1,3216,1,
72,Senate,1,3347,8,
72,Senate,1,3536,1,
72,Senate,1,3625,1,
72,Senate,1,3630,2,
72,Senate,1,3653,2,
72,Senate,1,3706,1,
72,Senate,1,3919,2,
72,Senate,1,4120,1,
72,Senate,1,4126,1,
72,Senate,1,4177,2,
72,Senate,1,4190,2,
72,Senate,1,4207,1,
72,Senate,1,4227,1,
72,Senate,1,4274,2,
72,Senate,1,4654,8,
72,Senate,1,4717,1,
72,Senate,1,4962,2,
72,Senate,1,5065,8,
72,Senate,1,5106,2,
72,Senate,1,5172,1,
72,Senate,1,5227,2,
72,Senate,1,5274,1,
72,Senate,1,5402,8,
72,Senate,1,5641,9,
72,Senate,1,5747,1,
72,Senate,1,5758,9,
72,Senate,1,6251,1,
72,Senate,1,6293,1,
72,Senate,1,6367,2,
72,Senate,1,6441,7,
72,Senate,1,6719,1,
72,Senate,1,6750,9,
72,Senate,1,6856,1,
72,Senate,1,6954,2,
72,Senate,1,6960,8,
72,Senate,1,6991,8,
72,Senate,1,7023,2,
72,Senate,1,7252,2,
72,Senate,1,7473,9,
72,Senate,1,7782,2,
72,Senate,1,7972,2,
72,Senate,1,7986,1,
72,Senate,1,8254,2,
72,Senate,1,8446,1,
72,Senate,1,8476,8,
72,Senate,1,8487,2,
72,Senate,1,8613,1,
72,Senate,1,8713,2,
72,Senate,1,8880,2,
72,Senate,1,8888,7,
72,Senate,1,9106,1,
72,Senate,1,9298,8,
72,Senate,1,9303,1,
72,Senate,1,9439,2,
72,Senate,1,9456,1,
72,Senate,1,9538,1,
72,Senate,1,9604,2,
72,Senate,1,9713,1,
72,Senate,1,9724,2,
72,Senate,1,9782,1,
72,Senate,1,9788,1,
72,Senate,1,9862,9,
72,Senate,1,9875,2,
72,Senate,1,9984,1,
72,Senate,1,10047,2,
72,Senate,2,273,1,
72,Senate,2,296,2,
72,Senate,2,349,1,
72,Senate,2,404,1,
72,Senate,2,425,2,
72,Senate,2,437,9,
72,Senate,2,716,2,
72,Senate,2,743,1,
72,Senate,2,761,8,
72,Senate,2,858,8,
72,Senate,2,982,1,
72,Senate,2,1070,2,
72,Senate,2,1091,1,
72,Senate,2,1224,1,
72,Senate,2,1234,1,
72,Senate,2,1370,1,
72,Senate,2,1494,8,
72,Senate,2,1497,1,
72,Senate,2,1503,2,
72,Senate,2,1986,1,
72,Senate,2,2035,1,
72,Senate,2,2062,1,
72,Senate,2,2083,1,
72,Senate,2,2095,8,
72,Senate,2,2289,8,
72,Senate,2,2302,2,
72,Senate,2,2391,2,
72,Senate,2,2575,2,
72,Senate,2,2595,1,
72,Senate,2,3124,2,
72,Senate,2,3216,1,
72,Senate,2,3347,8,
72,Senate,2,3536,1,
72,Senate,2,3625,1,
72,Senate,2,3630,2,
72,Senate,2,3653,2,
72,Senate,2,3706,1,
72,Senate,2,3919,2,
72,Senate,2,4120,1,
72,Senate,2,4126,1,
72,Senate,2,4177,2,
72,Senate,2,4190,2,
72,Senate,2,4207,1,
72,Senate,2,4227,1,
72,Senate,2,4274,2,
72,Senate,2,4654,8,
72,Senate,2,4717,1,
72,Senate,2,4962,2,
72,Senate,2,5065,8,
72,Senate,2,5106,2,
72,Senate,2,5172,1,
72,Senate,2,5227,2,
72,Senate,2,5274,1,
72,Senate,2,5402,8,
72,Senate,2,5641,9,
72,Senate,2,5747,1,
72,Senate,2,5758,9,
72,Senate,2,6251,1,
72,Senate,2,6293,1,
72,Senate,2,6367,2,
72,Senate,2,6441,9,
72,Senate,2,6719,1,
72,Senate,2,6750,9,
72,Senate,2,6856,1,
72,Senate,2,6954,2,
72,Senate,2,6960,8,
72,Senate,2,6991,8,
72,Senate,2,7023,2,
72,Senate,2,7252,2,
72,Senate,2,7473,9,
72,Senate,2,7782,2,
72,Senate,2,7972,2,
72,Senate,2,7986,1,
72,Senate,2,8254,2,
72,Senate,2,8446,1,
72,Senate,2,8476,8,
72,Senate,2,8487,2,
72,Senate,2,8613,1,
72,Senate,2,8713,2,
72,Senate,2,8880,2,
72,Senate,2,8888,9,
72,Senate,2,9106,1,
72,Senate,2,9298,8,
72,Senate,2,9303,1,
72,Senate,2,9439,2,
72,Senate,2,9456,1,
72,Senate,2,9538,1,
72,Senate,2,9604,2,
72,Senate,2,9713,1,
72,Senate,2,9724,2,
72,Senate,2,9782,1,
72,Senate,2,9788,1,
72,Senate,2,9862,9,
72,Senate,2,9875,2,
72,Senate,2,9984,1,
72,Senate,2,10047,2,
72,Senate,3,273,1,
72,Senate,3,296,2,
72,Senate,3,349,1,
72,Senate,3,404,1,
72,Senate,3,425,2,
72,Senate,3,437,9,
72,Senate,3,716,2,
72,Senate,3,743,1,
72,Senate,3,761,8,
72,Senate,3,858,8,
72,Senate,3,982,1,
72,Senate,3,1070,2,
72,Senate,3,1091,1,
72,Senate,3,1224,1,
72,Senate,3,1234,1,
72,Senate,3,1370,1,
72,Senate,3,1494,8,
72,Senate,3,1497,1,
72,Senate,3,1503,2,
72,Senate,3,1986,1,
72,Senate,3,2035,1,
72,Senate,3,2062,1,
72,Senate,3,2083,1,
72,Senate,3,2095,8,
72,Senate,3,2289,8,
72,Senate,3,2302,2,
72,Senate,3,2391,2,
72,Senate,3,2575,2,
72,Senate,3,2595,1,
72,Senate,3,3124,2,
72,Senate,3,3216,1,
72,Senate,3,3347,8,
72,Senate,3,3536,1,
72,Senate,3,3625,1,
72,Senate,3,3630,2,
